title,year,url
No Home Movie,2015,https://letterboxd.com/film/no-home-movie/
The Meetings of Anna,1978,https://letterboxd.com/film/the-meetings-of-anna/
The Captive,2000,https://letterboxd.com/film/the-captive/
Parting Glances,1986,https://letterboxd.com/film/parting-glances/
Cabiria,1914,https://letterboxd.com/film/cabiria/
Total Recall,1990,https://letterboxd.com/film/total-recall/
Not Okay,2022,https://letterboxd.com/film/not-okay/
Meshes of the Afternoon,1943,https://letterboxd.com/film/meshes-of-the-afternoon/
Brief Encounter,1945,https://letterboxd.com/film/brief-encounter/
La Cérémonie,1995,https://letterboxd.com/film/la-ceremonie/
The Clock,1945,https://letterboxd.com/film/the-clock/
Lilya 4-ever,2002,https://letterboxd.com/film/lilya-4-ever/
A Man Called Ove,2015,https://letterboxd.com/film/a-man-called-ove/
Thrilling Bloody Sword,1981,https://letterboxd.com/film/thrilling-bloody-sword/
Sliding Doors,1998,https://letterboxd.com/film/sliding-doors/
Altered States,1980,https://letterboxd.com/film/altered-states/
The President's Analyst,1967,https://letterboxd.com/film/the-presidents-analyst/
To Be and to Have,2002,https://letterboxd.com/film/to-be-and-to-have/
"I Was Born, But...",1932,https://letterboxd.com/film/i-was-born-but/
Trolls World Tour,2020,https://letterboxd.com/film/trolls-world-tour/
Great Choice,2017,https://letterboxd.com/film/great-choice/
Dragnet,1954,https://letterboxd.com/film/dragnet/
The Trip,1967,https://letterboxd.com/film/the-trip-1967/
Rebels of the Neon God,1992,https://letterboxd.com/film/rebels-of-the-neon-god/
Identifying Features,2020,https://letterboxd.com/film/identifying-features/
The Out-of-Towners,1970,https://letterboxd.com/film/the-out-of-towners/
In Cold Blood,1967,https://letterboxd.com/film/in-cold-blood/
Sundown: The Vampire in Retreat,1989,https://letterboxd.com/film/sundown-the-vampire-in-retreat/
A Separation,2011,https://letterboxd.com/film/a-separation/
Delicatessen,1991,https://letterboxd.com/film/delicatessen/
Dracula Has Risen from the Grave,1968,https://letterboxd.com/film/dracula-has-risen-from-the-grave/
Kuroneko,1968,https://letterboxd.com/film/kuroneko/
The Cremator,1969,https://letterboxd.com/film/the-cremator/
Ramen Heads,2017,https://letterboxd.com/film/ramen-heads/
The Hourglass Sanatorium,1973,https://letterboxd.com/film/the-hourglass-sanatorium/
The Lion in Winter,1968,https://letterboxd.com/film/the-lion-in-winter/
Cleaners,2019,https://letterboxd.com/film/cleaners-2019/
Garden State,2004,https://letterboxd.com/film/garden-state/
Man on Fire,2004,https://letterboxd.com/film/man-on-fire-2004/
Duelle (Une Quarantaine),1976,https://letterboxd.com/film/duelle-une-quarantaine/
Hard to Be a God,2013,https://letterboxd.com/film/hard-to-be-a-god/
A Very Curious Girl,1969,https://letterboxd.com/film/a-very-curious-girl/
Benny's Video,1992,https://letterboxd.com/film/bennys-video/
Sink or Swim,1990,https://letterboxd.com/film/sink-or-swim/
"All Light, Everywhere",2021,https://letterboxd.com/film/all-light-everywhere/
Top Secret!,1984,https://letterboxd.com/film/top-secret/
Blue Streak,1999,https://letterboxd.com/film/blue-streak/
The Exterminating Angel,1962,https://letterboxd.com/film/the-exterminating-angel/
HyperNormalisation,2016,https://letterboxd.com/film/hypernormalisation/
Upstream Color,2013,https://letterboxd.com/film/upstream-color/
Let the Corpses Tan,2017,https://letterboxd.com/film/let-the-corpses-tan/
All These Sleepless Nights,2016,https://letterboxd.com/film/all-these-sleepless-nights/
Age Out,2018,https://letterboxd.com/film/age-out/
Black Sabbath,1963,https://letterboxd.com/film/black-sabbath/
Austin Powers: International Man of Mystery,1997,https://letterboxd.com/film/austin-powers-international-man-of-mystery/
Smooth Talk,1985,https://letterboxd.com/film/smooth-talk/
A Sun,2019,https://letterboxd.com/film/a-sun/
House of Hummingbird,2018,https://letterboxd.com/film/house-of-hummingbird/
The Forty-Year-Old Version,2020,https://letterboxd.com/film/the-forty-year-old-version/
The Face of Another,1966,https://letterboxd.com/film/the-face-of-another/
"Muriel, or the Time of Return",1963,https://letterboxd.com/film/muriel-or-the-time-of-return/
French Exit,2020,https://letterboxd.com/film/french-exit-2020/
The Truffle Hunters,2020,https://letterboxd.com/film/the-truffle-hunters/
I Carry You with Me,2020,https://letterboxd.com/film/i-carry-you-with-me/
Beginning,2020,https://letterboxd.com/film/beginning-2020/
Night of the Kings,2020,https://letterboxd.com/film/night-of-the-kings/
Isabella,2020,https://letterboxd.com/film/isabella-2020-1/
MLK/FBI,2020,https://letterboxd.com/film/mlk-fbi/
Kusama: Infinity,2018,https://letterboxd.com/film/kusama-infinity/
Jess + Moss,2011,https://letterboxd.com/film/jess-moss/
The Young and the Damned,1950,https://letterboxd.com/film/the-young-and-the-damned/
Julien Donkey-Boy,1999,https://letterboxd.com/film/julien-donkey-boy/
Chelsea Girls,1966,https://letterboxd.com/film/chelsea-girls/
Hotel,2004,https://letterboxd.com/film/hotel-2004/
Siberia,2020,https://letterboxd.com/film/siberia-2020/
Tommaso,2019,https://letterboxd.com/film/tommaso-2019/
"Je T'Aime, Je T'Aime",1968,https://letterboxd.com/film/je-taime-je-taime/
Hiroshima Mon Amour,1959,https://letterboxd.com/film/hiroshima-mon-amour/
The Ascent,1977,https://letterboxd.com/film/the-ascent/
Nostalgia,1983,https://letterboxd.com/film/nostalgia-1983/
Quiver,2018,https://letterboxd.com/film/quiver-2018/
Hell's Angels,1930,https://letterboxd.com/film/hells-angels/
Marketa Lazarová,1967,https://letterboxd.com/film/marketa-lazarova/
Werckmeister Harmonies,2000,https://letterboxd.com/film/werckmeister-harmonies/
Lenny Cooke,2013,https://letterboxd.com/film/lenny-cooke/
Daddy Longlegs,2009,https://letterboxd.com/film/daddy-longlegs/
The Turin Horse,2011,https://letterboxd.com/film/the-turin-horse/
Embrace of the Serpent,2015,https://letterboxd.com/film/embrace-of-the-serpent/
Things to Come,2016,https://letterboxd.com/film/things-to-come-2016/
Jiro Dreams of Sushi,2011,https://letterboxd.com/film/jiro-dreams-of-sushi/
Escape Plan,2013,https://letterboxd.com/film/escape-plan/
The Double Life of Véronique,1991,https://letterboxd.com/film/the-double-life-of-veronique/
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000,https://letterboxd.com/film/as-i-was-moving-ahead-occasionally-i-saw/
Repo Man,1984,https://letterboxd.com/film/repo-man/
To Sleep with Anger,1990,https://letterboxd.com/film/to-sleep-with-anger/
Night Tide,1961,https://letterboxd.com/film/night-tide/
My Best Friend,2001,https://letterboxd.com/film/my-best-friend-2001/
Out 1,1971,https://letterboxd.com/film/out-1/
The Librarian: Quest for the Spear,2004,https://letterboxd.com/film/the-librarian-quest-for-the-spear/
The Invitation,2015,https://letterboxd.com/film/the-invitation-2015/
The Last Metro,1980,https://letterboxd.com/film/the-last-metro/
Red Desert,1964,https://letterboxd.com/film/red-desert/
La Ciénaga,2001,https://letterboxd.com/film/la-cienaga/
Funny Face,1957,https://letterboxd.com/film/funny-face/
To Kill a Mockingbird,1962,https://letterboxd.com/film/to-kill-a-mockingbird/
The Rules of Attraction,2002,https://letterboxd.com/film/the-rules-of-attraction/
