iter	Passed	Remaining
1012	13046	12711
1013	13058	12698
1014	13072	12686
1015	13085	12673
1016	13099	12661
1017	13112	12648
1018	13124	12635
1019	13137	12621
1020	13149	12608
1021	13161	12594
1022	13174	12582
1023	13186	12568
1024	13199	12555
1025	13213	12543
1026	13227	12531
1027	13240	12518
1028	13253	12506
1029	13266	12493
1030	13280	12482
1031	13294	12470
1032	13309	12459
1033	13322	12445
1034	13335	12433
1035	13348	12420
1036	13361	12408
1037	13375	12395
1038	13388	12383
1039	13400	12369
1040	13414	12357
1041	13427	12345
1042	13440	12331
1043	13453	12319
1044	13466	12306
1045	13478	12293
1046	13491	12280
1047	13505	12267
1048	13518	12255
1049	13531	12242
1050	13543	12229
1051	13556	12216
1052	13569	12203
1053	13583	12191
1054	13596	12179
1055	13609	12166
1056	13623	12153
1057	13636	12141
1058	13649	12128
1059	13662	12116
1060	13675	12102
1061	13687	12089
1062	13701	12077
1063	13713	12063
1064	13726	12051
1065	13741	12039
1066	13754	12026
1067	13768	12015
1068	13782	12002
1069	13796	11990
1070	13809	11978
1071	13822	11965
1072	13826	11944
1073	13839	11931
1074	13853	11920
1075	13866	11907
1076	13878	11894
1077	13892	11882
1078	13905	11869
1079	13918	11856
1080	13926	11839
1081	13939	11827
1082	13952	11814
1083	13965	11801
1084	13977	11787
1085	13990	11774
1086	14002	11761
1087	14014	11747
1088	14028	11735
1089	14041	11722
1090	14053	11709
1091	14067	11697
1092	14079	11683
1093	14092	11670
1094	14104	11657
1095	14116	11643
1096	14121	11623
1097	14133	11610
1098	14147	11598
1099	14161	11586
1100	14174	11574
1101	14189	11562
1102	14202	11550
1103	14215	11537
1104	14227	11523
1105	14239	11510
1106	14254	11498
1107	14268	11486
1108	14282	11474
1109	14295	11462
1110	14308	11449
1111	14320	11436
1112	14334	11423
1113	14347	11410
1114	14360	11398
1115	14373	11385
1116	14386	11372
1117	14399	11360
1118	14412	11347
1119	14425	11333
1120	14437	11320
1121	14450	11308
1122	14464	11296
1123	14477	11283
1124	14491	11270
1125	14504	11258
1126	14518	11246
1127	14531	11233
1128	14544	11220
1129	14556	11207
1130	14570	11194
1131	14582	11181
1132	14596	11169
1133	14609	11156
1134	14622	11143
1135	14635	11131
1136	14648	11118
1137	14661	11105
1138	14674	11092
1139	14688	11080
1140	14701	11067
1141	14714	11055
1142	14728	11043
1143	14741	11030
1144	14754	11017
1145	14767	11004
1146	14780	10991
1147	14788	10975
1148	14800	10962
1149	14813	10949
1150	14827	10936
1151	14840	10924
1152	14852	10910
1153	14865	10897
1154	14878	10885
1155	14891	10872
1156	14904	10859
1157	14917	10846
1158	14931	10834
1159	14944	10821
1160	14956	10808
1161	14964	10792
1162	14978	10779
1163	14991	10766
1164	15003	10753
1165	15017	10741
1166	15029	10727
1167	15042	10715
1168	15055	10702
1169	15063	10686
1170	15077	10673
1171	15089	10660
1172	15103	10648
1173	15105	10627
1174	15118	10615
1175	15131	10602
1176	15144	10589
1177	15157	10576
1178	15170	10564
1179	15183	10551
1180	15195	10538
1181	15208	10524
1182	15221	10512
1183	15234	10499
1184	15246	10486
1185	15259	10473
1186	15272	10460
1187	15293	10453
1188	15302	10437
1189	15316	10425
1190	15330	10413
1191	15343	10400
